date,price,tag,name,group,sub
213-2-8,14.75,AAL,American Airlines Group,Industrials,Airlines
213-2-11,14.46,AAL,American Airlines Group,Industrials,Airlines
213-2-12,14.27,AAL,American Airlines Group,Industrials,Airlines
213-2-13,14.66,AAL,American Airlines Group,Industrials,Airlines
213-2-14,13.99,AAL,American Airlines Group,Industrials,Airlines
213-2-15,14.5,AAL,American Airlines Group,Industrials,Airlines
213-2-19,14.26,AAL,American Airlines Group,Industrials,Airlines
213-2-2,13.33,AAL,American Airlines Group,Industrials,Airlines
213-2-21,13.37,AAL,American Airlines Group,Industrials,Airlines
213-2-22,13.57,AAL,American Airlines Group,Industrials,Airlines
213-2-25,13.2,AAL,American Airlines Group,Industrials,Airlines
213-2-26,13.26,AAL,American Airlines Group,Industrials,Airlines
213-2-27,13.41,AAL,American Airlines Group,Industrials,Airlines
213-2-28,13.43,AAL,American Airlines Group,Industrials,Airlines
213-3-1,13.61,AAL,American Airlines Group,Industrials,Airlines
213-3-4,13.9,AAL,American Airlines Group,Industrials,Airlines
